pH,TDS,DO,K,Na,Ca,Mg,Cl,SO4,NO3,HCO3,S34SO4,O18SO4,O18H2O,H2H2O
2.104134154,5.010635294,2.091864062,0.698134722,2.000127735,3.452524009,1.521698998,1.978239036,3.229617921,2.428336298,4.196253388,9.3,3.1,-10.6,-73
2.128231706,6.300785795,2.234306252,2.381396273,4.423768206,4.042349267,3.356897123,4.469121342,4.570992734,2.207174908,5.513021686,8.6,2.4,-7.9,-57
2.140066163,6.343880434,2.473171394,2.407845604,4.589650374,3.911822985,3.271468275,4.602667056,4.4837932,-0.400477567,5.507003614,14.5,-1.1,-8.2,-60
2.041220329,6.276643489,1.528227857,2.020222182,4.244487221,4.164647686,3.185525845,4.261270434,4.498586701,0.636576829,5.444742846,7.5,-1.3,-8,-58
2.00148,5.697093487,1.581038438,1.754403683,3.245322995,3.913422026,2.651127054,3.363149314,3.822973189,-0.274436846,5.1900578,10.8,2.1,-7.6,-54
2.140066163,5.093750201,2.051556338,0.536493371,1.680827909,3.613347392,2.104134154,1.460937904,3.419691964,1.187843422,4.567693112,8.8,0.4,-8,-52
2.197224577,5.746203191,3.106378794,1.297463147,3.150596984,3.996364154,2.992226134,3.783052624,4.041822443,-0.328504067,4.957895804,13.5,4.1,-10.9,-74
2.140066163,6.249975242,1.953027617,2.383242996,4.356324137,3.887320393,3.075467242,4.409520199,4.459334838,2.776331709,5.243834196,7.7,4.1,-8.6,-61
2.116255515,6.23636959,1.800058272,2.358965426,4.355169181,3.844814256,3.060583246,4.385520524,4.450502706,2.724579503,5.254250957,7.5,5.3,-8.7,-61
2.116255515,6.274762021,2.225704049,2.354228326,4.314684186,3.965374181,3.080992118,4.438406968,4.383525511,3.097837496,5.312128744,10.5,5.2,-8.5,-60
2.186051277,6.29156914,2.574137784,2.231089091,4.406353327,3.828206519,3.147164977,4.359525369,4.527857083,3.012589391,5.211589709,8.4,4.8,-8.5,-61
